Reference;CodeBarre;Designation;Unite;PrixAchatHT;PrixVenteHT;TauxTVA;StockActuel;StockMinimum;Categorie;Actif
74;;alaka rachacha mdwra clemed 20*20;qte;0,00;0,00;20,00;0,00;0,00;;Oui
75;;alaka rachacha mdwra clemed 25*25;qte;0,00;0,00;20,00;0,00;0,00;;Oui
76;;kmama 3m;qte;0,00;0,00;20,00;0,00;0,00;;Oui
77;;Mika Taghllif Akro 20Mt;qte;0,00;0,00;20,00;0,00;0,00;;Oui
78;;sepiyo petit disque;qte;0,00;0,00;20,00;0,00;0,00;;Oui
79;;hajra disque loh 180 silk;qte;0,00;0,00;20,00;0,00;0,00;;Oui
80;;hajra disque loh 180 germaflex;qte;0,00;0,00;20,00;0,00;0,00;;Oui
81;;disque hdid petit makute;qte;0,00;0,00;20,00;0,00;0,00;;Oui
82;;sipeyo hdid grand pigoem;qte;0,00;0,00;20,00;0,00;0,00;;Oui
83;;hajra disque hdid grand tigor;qte;0,00;0,00;20,00;0,00;0,00;;Oui
84;;robinet noir;qte;0,00;0,00;20,00;0,00;0,00;;Oui
85;;hajra disque petit hjar yamanda;qte;0,00;0,00;20,00;0,00;0,00;;Oui
86;;paso magana 1/2/3/4 mondial;qte;0,00;0,00;20,00;0,00;0,00;;Oui
87;;paso tasa doble clemed 1/2/3/8;qte;0,00;0,00;20,00;0,00;0,00;;Oui
88;;tente eau colorado;qte;0,00;0,00;20,00;0,00;0,00;;Oui
89;;tente zit arcol;qte;0,00;0,00;20,00;0,00;0,00;;Oui
90;;mdahab jafap;qte;0,00;0,00;20,00;0,00;0,00;;Oui
91;;mdahab eurotex;qte;0,00;0,00;20,00;0,00;0,00;;Oui
92;;mnakar jafep;qte;0,00;0,00;20,00;0,00;0,00;;Oui
93;;mnakar colorado;qte;0,00;0,00;20,00;0,00;0,00;;Oui
94;;tente astral eau;qte;0,00;0,00;20,00;0,00;0,00;;Oui
95;;couteur vastking;qte;0,00;0,00;20,00;0,00;0,00;;Oui
96;;rwak docha;qte;0,00;0,00;20,00;0,00;0,00;;Oui
97;;rwak docha(2);qte;0,00;0,00;20,00;0,00;0,00;;Oui
98;;paso ikeer 1/2/1/2 noir kupp;qte;0,00;0,00;20,00;0,00;0,00;;Oui
99;;paso palaman doble;qte;0,00;0,00;20,00;0,00;0,00;;Oui
100;;paso magana 3/43/4 grome;qte;0,00;0,00;20,00;0,00;0,00;;Oui
101;;robinet jarda jary;qte;0,00;0,00;20,00;0,00;0,00;;Oui
102;;loba maryo venizia;qte;0,00;0,00;20,00;0,00;0,00;;Oui
103;;lakat pance hdid 500a sodour;qte;0,00;0,00;20,00;0,00;0,00;;Oui
104;;sifon bedit roca;qte;0,00;0,00;20,00;0,00;0,00;;Oui
105;;lakat bni bellota;qte;0,00;0,00;20,00;0,00;0,00;;Oui
106;;lakat bni 3adi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
107;;teflon grand pronto;qte;0,00;0,00;20,00;0,00;0,00;;Oui
108;;stanio nhas petit;qte;0,00;0,00;20,00;0,00;0,00;;Oui
109;;loba 70 zete;qte;0,00;0,00;20,00;0,00;0,00;;Oui
110;;terna kodak;qte;0,00;0,00;20,00;0,00;0,00;;Oui
111;;menchar loh;qte;0,00;0,00;20,00;0,00;0,00;;Oui
112;;tornios tasa 3adi;qte;0,00;0,00;20,00;0,00;0,00;;Oui
113;;menchar loh marron;qte;0,00;0,00;20,00;0,00;0,00;;Oui
114;;lama kamla;qte;0,00;0,00;20,00;0,00;0,00;;Oui
115;;alaka inox;qte;0,00;0,00;20,00;0,00;0,00;;Oui
116;;alaka inox b;qte;0,00;0,00;20,00;0,00;0,00;;Oui
117;;brocha tablo;qte;0,00;0,00;20,00;0,00;0,00;;Oui
118;;makina ppr version1;qte;0,00;0,00;20,00;0,00;0,00;;Oui
119;;rotolat glomer;qte;0,00;0,00;20,00;0,00;0,00;;Oui
